NUMBER	ENGLISH	PORTUGUESE	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS	EOL
328	SMALL	PEQUENO	SPATIAL_RELATIONS	1246	SMALL	
329	SMOKE (n)	FUMAÇA	PHYSICAL_WORLD	778	SMOKE (EXHAUST)	
330	SNAIL	CARACOL / LESMA	ANIMALS	1543	SNAIL	
331	SNAKE	COBRA	ANIMALS	730	SNAKE	
332	SNORE	RONCAR	BODY	1983	SNORE	
333	SON OF WOMAN	FILHO DE MULHER	KINSHIP	1620	SON	
334	SON OF MAN	FILHO DE HOMEN	KINSHIP	1620	SON	
335	SOUR / BITTER	AZEDO / AMARGO	SENSE_PERCEPTION	1906	SOUR	
336	SPEAK	FALAR	SPEECH_AND_LANGUAGE	1623	SPEAK	
337	SPIDER	ARANHA	ANIMALS	843	SPIDER	166
338	SPIDER MONKEY	MACACO PRETO / MACACO ARANHA / COATÁ	ANIMALS	434	SPIDER MONKEY	41555
339	SPROUT	BROTAR / GERMINAR	BASIC_ACTIONS_AND_TECHNOLOGY	2076	SPROUT (VERB)	
340	SQUIRREL	ESQUILO / CAXINGUELÊ/ QUATIMIRIM / QUATIPURU / SERELEPE	ANIMALS	1628	SQUIRREL	34612
341	STAND	ESTAR DE / EM PÉ / LEVANTAR	BODY	1442	STAND	
342	STAR	ESTRELA	PHYSICAL_WORLD	1430	STAR	
343	STAY	FICAR	SPATIAL_RELATIONS	987	REMAIN	
344	STINGRAY	ARRAIA	ANIMALS	1910	STINGRAY	46560356
345	STOMACH	ESTÔMAGO	BODY	819	STOMACH	
346	STONE	PEDRA	PHYSICAL_WORLD	857	STONE	
347	STRONG	FORTE	BODY	785	STRONG	
348	SUCK	SUGAR / CHUPAR	FOOD_AND_DRINK	1421	SUCK	
349	SUN	SOL	PHYSICAL_WORLD	1343	SUN	
350	SURUBIM	PINTADO / BAGRE	ANIMALS			356148
351	SWEAT	SUOR	BODY	125	SWEAT (SUBSTANCE)	
352	SWEEP	VARRER	BASIC_ACTIONS_AND_TECHNOLOGY	230	SWEEP	
353	SWEET	DOCE	SENSE_PERCEPTION	717	SWEET	
354	SWEET POTATO	BATAT-DOCE	FOOD_AND_DRINK	159	SWEET POTATO	580962
355	SWIM	NADAR	MOTION	1439	SWIM	
356	TAIL	RABO / CAUDA	BODY	1220	TAIL	
357	TAPIR	ANTA	ANIMALS	312	TAPIR	
358	TAYRA	IRARA	ANIMALS			328036
359	TEACH	ENSINAR	COGNITION	709	TEACH	
360	TELL / NARRATE	CONTAR	SPEECH_AND_LANGUAGE	1711	TELL	
361	TERMINATE / FINISH	ACABAR / TERMINAR	TIME	1766	FINISH	
362	TERMITE	CUPIM	ANIMALS	883	TERMITE	
363	TESTICLES	TESTÍCULOS	BODY	797	TESTICLES	
364	THAT	AQUELE / AQUILO	MISCELLANEOUS_FUNCTION_WORDS	78	THAT	
365	THICK	GROSSO	SPATIAL_RELATIONS	1244	THICK	
366	THING	COISA	POSSESSION	738	THING	
367	THIS	ESTE	MISCELLANEOUS_FUNCTION_WORDS	1214	THIS	
368	THREE	TRÊS	QUANTITY	492	THREE	
