Doculect	Subfamily	ISO	ID	Glottolog	Longitude	Latitude	Concept	Form	Cognate_Class	Comment
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	ALL	upa	1	
Cocama-Cocamilla	nonTupían	cod	cod	coca1259	-74	-4.5	ALL	upi	1	
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	ALONE	kɨte		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	ALONE	meme		
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	ALONE	meme		
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	ALONE	atʃã		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	ALONE	ʃowe		
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	ALONE	tehe		
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	ALONE	tehe / jate		
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	ALONE	tehe		
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	ALONE	kər / wote 		
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	ALONE	aɲõ	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	ALONE	ae		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	ALONE	aɲo / aeʔi	1 /	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	ALONE	aɲo(nte)	1	
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	ANACONDA	tahani*		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	ANACONDA	ɨdnajã		
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	ANACONDA	tigaptarap		
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	ANACONDA	amsiamʔe		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	ANACONDA	kʷatin atʃo	A 7	
Mekens (Sakurabiat)	Tuparí	skf	skf	saki1248	-62.0927	-13.054	ANACONDA	kʷatsopoot	A B	
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	ANACONDA	iimadĩ ĩt / badpuj	4	
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	ANACONDA	loboti(it)	4	
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	ANACONDA	sõɲmap	6	
Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92	ANACONDA	sad maawa**	6	
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	ANACONDA	adʒa	3	
